statement,label
Luxury goods shares plunge unexpectedly as retail demand surges.,0
Luxury goods shares face contagion from peers as retail demand surges.,0
Pension fund allocations collapse under leverage during market open hours.,0
Emerging-market equities erode on margin expansion during a risk-off sell-off.,0
10-year Treasury yield see record drawdowns amid economic uncertainty.,0
Real estate REITs face short-squeeze reversals after corporate guidance cuts.,0
Real estate REITs erode on margin expansion amid liquidity constraints.,0
Corporate bond spreads hit multi-year lows over the past year.,0
Green energy stocks spike amid speculative frenzy during the holiday trading session.,0
S&P 500 index face short-squeeze reversals during the holiday trading session.,0
Forex speculators face regulatory probes this week.,0
High-yield debt face regulatory probes during a risk-off sell-off.,0
S&P 500 index breach critical support levels after corporate guidance cuts.,0
Corporate bond spreads see record drawdowns since last earnings season.,0
Institutional funds breach critical support levels amid economic uncertainty.,0
Semiconductor fabs see historic underperformance since last earnings season.,0
Pension fund allocations suffer margin calls during the holiday trading session.,0
S&P 500 index suffer margin calls since last earnings season.,0
Luxury goods shares face regulatory probes this quarter.,0
S&P 500 index breach volatility thresholds in the wake of policy changes.,0
Automotive suppliers spike amid speculative frenzy during peak trading volumes.,0
S&P 500 index trigger forced liquidations during the holiday trading session.,0
Real estate REITs experience flash crashes following central bank remarks.,0
10-year Treasury yield tumble on liquidity fears following central bank remarks.,0
Retail investors see record drawdowns during the holiday trading session.,0
Tech startup valuations collapse under leverage ahead of the CPI print.,0
Green energy stocks breach volatility thresholds ahead of the CPI print.,0
Consumer staples breach critical support levels amid liquidity constraints.,0
Emerging-market equities stall under tightening bias after corporate guidance cuts.,0
Institutional funds face regulatory probes during a risk-off sell-off.,0
Real estate REITs spike amid speculative frenzy after a major merger announcement.,0
Healthcare IPOs suffer margin calls during market open hours.,0
S&P 500 index witness pump-and-dump schemes during market open hours.,0
Biotech pipelines hit multi-year lows year-to-date.,0
Emerging-market equities tumble on liquidity fears in the wake of policy changes.,0
Luxury goods shares skyrocket without warning year-to-date.,0
Retail investors erode on margin expansion year-to-date.,0
10-year Treasury yield skyrocket without warning amid rising inflation expectations.,0
S&P 500 index spike amid speculative frenzy since last earnings season.,0
Automotive suppliers trigger forced liquidations after a major merger announcement.,0
Semiconductor fabs see record drawdowns amid economic uncertainty.,0
S&P 500 index skyrocket without warning after a major merger announcement.,0
Pension fund allocations witness pump-and-dump schemes after corporate guidance cuts.,0
Healthcare IPOs plunge unexpectedly in the wake of policy changes.,0
Tech startup valuations see record drawdowns during market open hours.,0
Consumer staples face contagion from peers year-to-date.,0
Real estate REITs see record drawdowns ahead of the CPI print.,0
Options traders witness pump-and-dump schemes after corporate guidance cuts.,0
Bitcoin prices trigger forced liquidations during market open hours.,0
Green energy stocks erode on margin expansion amid liquidity constraints.,0
Gold futures see record drawdowns during the holiday trading session.,0
Luxury goods shares face contagion from peers during the holiday trading session.,0
High-yield debt plunge unexpectedly ahead of the Fed meeting.,0
10-year Treasury yield see historic underperformance ahead of the Fed meeting.,0
Crude oil benchmarks face contagion from peers amid rising inflation expectations.,0
Luxury goods shares face regulatory probes during the holiday trading session.,0
Crude oil benchmarks collapse under leverage during market open hours.,0
Emerging-market equities witness pump-and-dump schemes during the holiday trading session.,0
Biotech pipelines erode on margin expansion before the bond auction.,0
Real estate REITs skyrocket without warning amid rising inflation expectations.,0
Emerging-market equities trigger forced liquidations following central bank remarks.,0
Green energy stocks hit multi-year lows after corporate guidance cuts.,0
Ethereum volatility experience flash crashes amid rising inflation expectations.,0
Biotech pipelines breach critical support levels this quarter.,0
Corporate bond spreads tumble on liquidity fears ahead of the Fed meeting.,0
Ethereum volatility experience flash crashes over the past year.,0
Consumer staples stall under tightening bias before the bond auction.,0
NASDAQ Composite collapse under leverage after a major merger announcement.,0
Tech startup valuations witness pump-and-dump schemes as retail demand surges.,0
Semiconductor fabs hit multi-year lows ahead of the CPI print.,0
Gold futures spike amid speculative frenzy during a risk-off sell-off.,0
Crude oil benchmarks face short-squeeze reversals since last earnings season.,0
Semiconductor fabs lash out on geopolitical news as retail demand surges.,0
10-year Treasury yield witness pump-and-dump schemes year-to-date.,0
Corporate bond spreads see record drawdowns after a major merger announcement.,0
Semiconductor fabs collapse under leverage before the bond auction.,0
10-year Treasury yield experience flash crashes before the bond auction.,0
Corporate bond spreads face regulatory probes during peak trading volumes.,0
Day traders suffer margin calls after corporate guidance cuts.,0
Healthcare IPOs erode on margin expansion ahead of the CPI print.,0
Semiconductor fabs spike amid speculative frenzy after corporate guidance cuts.,0
Gold futures face regulatory probes amid liquidity constraints.,0
Retail investors breach volatility thresholds this quarter.,0
NASDAQ Composite stall under tightening bias since last earnings season.,0
Bitcoin prices witness pump-and-dump schemes after a major merger announcement.,0
Ethereum volatility stall under tightening bias during market open hours.,0
Bitcoin prices breach critical support levels this quarter.,0
Gold futures lash out on geopolitical news amid economic uncertainty.,0
Day traders erode on margin expansion ahead of the CPI print.,0
NASDAQ Composite breach volatility thresholds year-to-date.,0
10-year Treasury yield trigger forced liquidations during the holiday trading session.,0
Automotive suppliers experience flash crashes ahead of the Fed meeting.,0
10-year Treasury yield breach volatility thresholds amid rising inflation expectations.,0
Biotech pipelines suffer margin calls during peak trading volumes.,0
10-year Treasury yield see historic underperformance this week.,0
Options traders face regulatory probes after corporate guidance cuts.,0
Green energy stocks tumble on liquidity fears this quarter.,0
Pension fund allocations face contagion from peers this quarter.,0
Tech startup valuations face contagion from peers after a major merger announcement.,0
Semiconductor fabs witness pump-and-dump schemes amid liquidity constraints.,0
Healthcare IPOs tumble on liquidity fears this quarter.,0
Bitcoin prices experience flash crashes ahead of the CPI print.,0
Crude oil benchmarks experience flash crashes amid economic uncertainty.,0
Options traders suffer margin calls during peak trading volumes.,0
Gold futures skyrocket without warning amid rising inflation expectations.,0
Institutional funds suffer margin calls year-to-date.,0
High-yield debt breach volatility thresholds amid liquidity constraints.,0
Emerging-market equities face contagion from peers before the bond auction.,0
Tech startup valuations face contagion from peers amid liquidity constraints.,0
Semiconductor fabs hit multi-year lows during market open hours.,0
